CallNumber,UnitID,IncidentNumber,CallType,CallDate,WatchDate,CallFinalDisposition,AvailableDtTm,Address,City,Zipcode,Battalion,StationArea,Box,OriginalPriority,Priority,FinalPriority,ALSUnit,CallTypeGroup,NumAlarms,UnitType,UnitSequenceInCallDispatch,FirePreventionDistrict,SupervisorDistrict,Neighborhood,Location,RowID,Delay
20280169,B02,2008211,Alarms,01/28/2002,01/28/2002,Other,01/28/2002 11:11:33 AM,2100 Block of FOLSOM ST,SF,94110,B02,07,5424,3,3,3,false,"",1,CHIEF,3,2,9,Mission,"(37.7629022227561, -122.415007871815)",020280169-B02,0.5
20280187,A208,2008225,Medical Incident,01/28/2002,01/28/2002,Against Medical Advice,01/28/2002 12:19:54 PM,600 Block of ELLIS ST,SF,94109,B02,03,1555,1,1,2,false,"",1,PRIVATE,1,2,6,Tenderloin,"(37.7842880919216, -122.416878028422)",020280187-A208,6.733333
20280192,E03,2008228,Medical Incident,01/28/2002,01/28/2002,Other,01/28/2002 11:57:28 AM,400 Block of ELLIS ST,SF,94102,B03,03,1461,3,3,3,false,"",1,ENGINE,1,2,6,Tenderloin,"(37.7848073886774, -122.413615438263)",020280192-E03,2.2666667
20280210,B02,2008243,Medical Incident,01/28/2002,01/28/2002,Other,01/28/2002 02:38:38 PM,14TH ST/FOLSOM ST,SF,94103,B02,07,5216,3,3,3,false,"",1,CHIEF,2,2,9,Mission,"(37.7685373884214, -122.415613781366)",020280210-B02,3.8333333
20280242,T08,2008259,Structure Fire,01/28/2002,01/28/2002,Other,01/28/2002 01:54:03 PM,18TH ST/BRYANT ST,SF,94110,B02,07,5426,3,3,3,false,"",1,TRUCK,2,2,9,Mission,"(37.7617594196716, -122.410118192354)",020280242-T08,1.9833333
20280254,E15,2008266,Medical Incident,01/28/2002,01/28/2002,Other,01/28/2002 02:22:35 PM,0 Block of DELANO AVE,SF,94112,B09,15,8275,3,3,3,true,"",1,ENGINE,1,9,11,Outer Mission,"(37.7270425255035, -122.440037849208)",020280254-E15,2.3833334
20280257,E36,2008269,Structure Fire,01/28/2002,01/28/2002,Other,01/28/2002 02:23:03 PM,9TH ST/MISSION ST,SF,94103,B02,36,2336,3,3,3,false,"",1,ENGINE,1,2,6,South of Market,"(37.7762305177878, -122.414711004673)",020280257-E36,1.05
20280273,T01,2008280,Structure Fire,01/28/2002,01/28/2002,Other,01/28/2002 02:57:22 PM,200 Block of LARKIN ST,SF,94102,B02,36,1645,3,3,3,false,"",1,TRUCK,2,2,6,Tenderloin,"(37.7800186669161, -122.416926174949)",020280273-T01,1.3666667
20280279,E03,2008282,Medical Incident,01/28/2002,01/28/2002,Other,01/28/2002 03:01:45 PM,1300 Block of CALIFORNIA ST,SF,94109,B01,41,1541,3,3,3,false,"",1,ENGINE,2,1,3,Nob Hill,"(37.7911188031273, -122.416758005848)",020280279-E03,3.3
20280295,E42,2008290,Structure Fire,01/28/2002,01/28/2002,Other,01/28/2002 03:20:04 PM,BACON ST/BRUSSELS ST,SF,94134,B10,42,6334,3,3,3,true,"",1,ENGINE,1,10,9,Portola,"(37.7271146647242, -122.405586310071)",020280295-E42,1.2666667
20280305,E10,2008299,Medical Incident,01/28/2002,01/28/2002,Other,01/28/2002 04:01:29 PM,3800 Block of CALIFORNIA ST,SF,94118,B07,10,7114,3,3,3,false,"",1,ENGINE,1,7,2,Presidio Heights,"(37.7859482696141, -122.457523579437)",020280305-E10,3.1833334
20280309,M01,2008303,Medical Incident,01/28/2002,01/28/2002,Other,01/28/2002 04:22:24 PM,200 Block of EDDY ST,SF,94102,B03,01,1453,3,3,3,true,"",1,MEDIC,1,3,6,Tenderloin,"(37.7839825587491, -122.411762530716)",020280309-M01,2.9
20280325,M03,2008318,Medical Incident,01/28/2002,01/28/2002,Other,01/28/2002 05:34:05 PM,100 Block of 6TH ST,SF,94103,B03,01,2252,1,1,2,true,"",1,MEDIC,1,3,6,South of Market,"(37.7799892619986, -122.407376463936)",020280325-M03,1.9833333
20280338,T15,2008328,Structure Fire,01/28/2002,01/28/2002,Other,01/28/2002 05:36:33 PM,200 Block of MADRID ST,SF,94112,B09,43,0613,3,3,3,false,"",1,TRUCK,3,9,11,Excelsior,"(37.7255316247491, -122.429925994016)",020280338-T15,1.5
20280339,M36,2008329,Medical Incident,01/28/2002,01/28/2002,Other,"",GROVE ST/LARKIN ST,SF,94102,B02,36,1552,3,3,3,true,"",1,MEDIC,2,2,6,Tenderloin,"(37.7786578549412, -122.416580344698)",020280339-M36,1.65
20280378,B02,2008360,Alarms,01/28/2002,01/28/2002,Other,01/28/2002 07:24:55 PM,400 Block of ELLIS ST,SF,94102,B03,03,1461,3,3,3,false,"",1,CHIEF,2,2,6,Tenderloin,"(37.7846989219759, -122.413593512877)",020280378-B02,1.9333333
20280395,M18,2008375,Medical Incident,01/28/2002,01/28/2002,Other,01/28/2002 08:38:01 PM,800 Block of LA PLAYA,SF,94121,B07,34,7311,1,1,2,false,"",1,MEDIC,1,7,1,Outer Richmond,"(37.7723244294895, -122.510034921211)",020280395-M18,1.85
20280410,T03,2008388,Alarms,01/28/2002,01/28/2002,Other,01/28/2002 09:24:12 PM,1400 Block of SUTTER ST,SF,94109,B04,03,3223,3,3,3,false,"",1,TRUCK,3,4,2,Western Addition,"(37.7871805642867, -122.424214337818)",020280410-T03,2.5666666
20280433,M08,2008409,Medical Incident,01/28/2002,01/28/2002,Other,01/28/2002 11:07:46 PM,0 Block of 9TH ST,SF,94103,B02,36,2337,2,2,2,true,"",1,MEDIC,1,2,6,South of Market,"(37.7764354063246, -122.415064887666)",020280433-M08,3.5
20280434,B04,2008410,Structure Fire,01/28/2002,01/28/2002,Other,01/28/2002 11:10:13 PM,0 Block of CLEARY CT,SF,94109,B04,03,3323,3,3,3,false,"",1,CHIEF,3,4,5,Western Addition,"(37.7841466012998, -122.426445754167)",020280434-B04,1.8333334
20290020,E01,2008431,Medical Incident,01/29/2002,01/28/2002,Other,01/29/2002 02:26:54 AM,800 Block of MARKET ST,SF,94102,B03,01,2209,3,3,3,false,"",1,ENGINE,2,3,3,Tenderloin,"(37.7843455364627, -122.407785146121)",020290020-E01,4.133333
20290031,E05,2008442,Medical Incident,01/29/2002,01/28/2002,Other,01/29/2002 04:57:06 AM,1200 Block of TURK ST,SF,94115,B02,05,3426,3,3,3,false,"",1,ENGINE,2,2,5,Western Addition,"(37.7808662105665, -122.428803238005)",020290031-E05,4.1666665
20290036,T02,2008447,Elevator / Escalator Rescue,01/29/2002,01/28/2002,Other,01/29/2002 04:58:55 AM,200 Block of BAY ST,SF,94133,B01,28,1341,3,3,3,false,"",1,TRUCK,1,1,3,North Beach,"(37.805980597443, -122.411141131856)",020290036-T02,3.8
20290042,M18,2008452,Medical Incident,01/29/2002,01/28/2002,Other,01/29/2002 07:29:25 AM,2400 Block of 46TH AVE,SF,94116,B08,18,7665,2,2,2,false,"",1,MEDIC,1,8,4,Sunset/Parkside,"(37.7408386964931, -122.504486029122)",020290042-M18,6.1
20290055,M05,2008460,Medical Incident,01/29/2002,01/28/2002,Other,01/29/2002 08:13:27 AM,1400 Block of MCALLISTER ST,SF,94115,B05,05,3642,3,3,3,true,"",1,MEDIC,1,5,5,Western Addition,"(37.7781638388054, -122.435885318986)",020290055-M05,2.3166666
20290081,M32,2008469,Structure Fire,01/29/2002,01/29/2002,Other,01/29/2002 08:56:54 AM,100 Block of MILTON ST,SF,94112,B09,32,8137,3,3,3,true,"",1,MEDIC,5,9,8,Outer Mission,"(37.7329695122285, -122.429290422253)",020290081-M32,2.4166667
20290082,RC2,2008470,Medical Incident,01/29/2002,01/29/2002,Other,01/29/2002 09:08:25 AM,500 Block of MARKET ST,SF,94104,B03,01,2109,E,E,3,true,"",1,RESCUE CAPTAIN,3,1,3,Financial District/South Beach,"(37.7890636112201, -122.40180312648)",020290082-RC2,12.266666
20290149,RC3,2008496,Medical Incident,01/29/2002,01/29/2002,Other,01/29/2002 10:20:28 AM,500 Block of TOMPKINS AVE,SF,94110,B06,32,5737,E,E,3,true,"",1,RESCUE CAPTAIN,2,10,9,Bernal Heights,"(37.736997514262, -122.41317251979)",020290149-RC3,2.3333333
20290156,B10,2008499,Structure Fire,01/29/2002,01/29/2002,Other,01/29/2002 10:43:45 AM,1400 Block of SILVER AVE,SF,94134,B10,42,6362,3,3,3,false,"",1,CHIEF,2,10,9,Portola,"(37.7317504142557, -122.40804870235)",020290156-B10,3.35
20290156,T09,2008499,Structure Fire,01/29/2002,01/29/2002,Other,01/29/2002 10:44:20 AM,1400 Block of SILVER AVE,SF,94134,B10,42,6362,3,3,3,true,"",1,TRUCK,5,10,9,Portola,"(37.7317504142557, -122.40804870235)",020290156-T09,3.6833334
20290176,T01,2008509,Alarms,01/29/2002,01/29/2002,Other,01/29/2002 11:28:10 AM,100 Block of TAYLOR ST,SF,94102,B03,01,1453,3,3,3,false,"",1,TRUCK,3,3,6,Tenderloin,"(37.7836689847285, -122.410926562132)",020290176-T01,4.2166667
20290178,M41,2008511,Medical Incident,01/29/2002,01/29/2002,Other,01/29/2002 11:57:23 AM,700 Block of KEARNY ST,SF,94108,B01,13,1245,3,3,3,true,"",1,MEDIC,2,1,3,Chinatown,"(37.7946478828923, -122.404904447841)",020290178-M41,2.1666667
20290208,E15,2008532,Medical Incident,01/29/2002,01/29/2002,Other,01/29/2002 12:59:30 PM,100 Block of APTOS AVE,SF,94127,B09,15,0853,3,3,3,false,"",1,ENGINE,1,9,7,West of Twin Peaks,"(37.7292047405741, -122.466744756588)",020290208-E15,4.016667
20290215,M03,2008538,Medical Incident,01/29/2002,01/29/2002,Other,01/29/2002 01:35:58 PM,400 Block of TURK ST,SF,94102,B02,03,1554,3,3,3,true,"",1,MEDIC,2,2,6,Tenderloin,"(37.7824484982183, -122.416327441768)",020290215-M03,2.0333333
20290225,M28,2008542,Medical Incident,01/29/2002,01/29/2002,Other,01/29/2002 01:22:04 PM,1500 Block of BROADWAY,SF,94109,B04,41,3152,3,3,3,true,"",1,MEDIC,2,4,3,Russian Hill,"(37.7958954987191, -122.422601519723)",020290225-M28,2.9333334
20290256,M29,2008554,Medical Incident,01/29/2002,01/29/2002,Other,01/29/2002 02:13:28 PM,24TH ST/MISSION ST,SF,94110,B06,11,5525,3,3,3,true,"",1,MEDIC,2,6,9,Mission,"(37.7522394549791, -122.418445272851)",020290256-M29,3.6166666
20290262,M03,2008557,Medical Incident,01/29/2002,01/29/2002,Other,01/29/2002 03:00:13 PM,FRANKLIN ST/POST ST,SF,94109,B04,03,3222,3,3,3,true,"",1,MEDIC,2,4,2,Western Addition,"(37.7864023177851, -122.423213872984)",020290262-M03,3.6333334
20290283,M10,2008569,Medical Incident,01/29/2002,01/29/2002,Other,01/29/2002 02:58:36 PM,3800 Block of CALIFORNIA ST,SF,94118,B07,10,7114,1,1,2,true,"",1,MEDIC,1,7,2,Presidio Heights,"(37.7859482696141, -122.457523579437)",020290283-M10,3.7666667
20290297,B10,2008576,Medical Incident,01/29/2002,01/29/2002,Other,01/29/2002 03:19:32 PM,1200 Block of CORTLAND AVE,SF,94110,B10,32,5725,3,3,3,false,"",1,CHIEF,1,10,9,Bernal Heights,"(37.7399062404841, -122.411705143401)",020290297-B10,2.85
20290305,T01,2008584,Alarms,01/29/2002,01/29/2002,Other,01/29/2002 03:29:10 PM,500 Block of 3RD ST,SF,94107,B03,08,2173,3,3,3,false,"",1,TRUCK,2,3,6,South of Market,"(37.7808426292013, -122.395340436859)",020290305-T01,1.8166667
20290312,T08,2008590,Alarms,01/29/2002,01/29/2002,Other,01/29/2002 03:40:09 PM,1800 Block of BRYANT ST,SF,94110,B02,29,5242,3,3,3,true,"",1,TRUCK,3,2,9,Mission,"(37.7636655981305, -122.41037293196)",020290312-T08,2.0666666
20290324,E18,2008596,Medical Incident,01/29/2002,01/29/2002,Other,01/29/2002 04:14:28 PM,1300 Block of 47TH AVE,SF,94122,B08,23,7721,3,3,3,false,"",1,ENGINE,1,8,4,Sunset/Parkside,"(37.7613042681053, -122.507133779608)",020290324-E18,3.15
20290325,B01,2008595,Alarms,01/29/2002,01/29/2002,Other,01/29/2002 03:55:13 PM,0 Block of 4TH ST,SF,94103,B03,01,2212,3,3,3,false,"",1,CHIEF,3,3,6,Financial District/South Beach,"(37.7851251468157, -122.404965960872)",020290325-B01,1.0166667
20290325,E01,2008595,Alarms,01/29/2002,01/29/2002,Other,01/29/2002 03:54:52 PM,0 Block of 4TH ST,SF,94103,B03,01,2212,3,3,3,false,"",1,ENGINE,2,3,6,Financial District/South Beach,"(37.7851251468157, -122.404965960872)",020290325-E01,2.1833334
20290332,T09,2008603,Medical Incident,01/29/2002,01/29/2002,Other,01/29/2002 04:07:01 PM,24TH ST/POTRERO AV,SF,94110,B10,37,2554,3,3,3,true,"",1,TRUCK,1,10,9,Mission,"(37.7530040313925, -122.406336240587)",020290332-T09,3.15
20290338,T08,2008609,Structure Fire,01/29/2002,01/29/2002,Other,01/29/2002 04:26:24 PM,6TH ST/HARRISON ST,SF,94103,B03,08,2254,3,3,3,true,"",1,TRUCK,2,3,6,South of Market,"(37.7772727011897, -122.404070256526)",020290338-T08,2.0833333
20290356,B02,2008625,Alarms,01/29/2002,01/29/2002,Other,01/29/2002 05:09:39 PM,200 Block of TURK ST,SF,94102,B03,01,1456,3,3,3,false,"",1,CHIEF,3,2,6,Tenderloin,"(37.782845034474, -122.413221766738)",020290356-B02,4.733333
20290370,E03,2008637,Medical Incident,01/29/2002,01/29/2002,Other,01/29/2002 05:49:37 PM,1000 Block of SUTTER ST,SF,94109,B04,03,1557,3,3,3,false,"",1,ENGINE,1,4,3,Nob Hill,"(37.7881263034393, -122.417657214041)",020290370-E03,1.8166667
20290371,B04,2008638,Alarms,01/29/2002,01/29/2002,Other,01/29/2002 05:46:16 PM,2300 Block of FILLMORE ST,SF,94115,B04,38,3545,3,3,3,false,"",1,CHIEF,3,4,2,Pacific Heights,"(37.791142743319, -122.434360166236)",020290371-B04,2.6166666
20290397,B05,2008655,Alarms,01/29/2002,01/29/2002,Other,01/29/2002 06:48:02 PM,1800 Block of GOLDEN GATE AVE,SF,94115,B05,21,4242,3,3,3,false,"",1,CHIEF,2,5,5,Western Addition,"(37.7783512875178, -122.44102844941)",020290397-B05,2.1166666
20290401,RS2,2008659,Structure Fire,01/29/2002,01/29/2002,Other,01/29/2002 06:54:26 PM,0 Block of EASTWOOD DR,SF,94112,B09,15,8515,3,3,3,false,"",1,RESCUE SQUAD,8,9,7,West of Twin Peaks,"(37.7268897416344, -122.457249633617)",020290401-RS2,3.2166667
20290405,M03,2008663,Medical Incident,01/29/2002,01/29/2002,Other,01/29/2002 08:20:26 PM,300 Block of EDDY ST,SF,94102,B02,03,1540,1,1,2,true,"",1,MEDIC,1,2,6,Tenderloin,"(37.7838344374141, -122.412930522059)",020290405-M03,2.9666667
20290408,M01,2008666,Medical Incident,01/29/2002,01/29/2002,Other,01/29/2002 07:42:25 PM,6TH ST/MARKET ST,SF,94102,B03,01,2248,3,3,3,true,"",1,MEDIC,1,3,6,South of Market,"(37.7822305756448, -122.410292026777)",020290408-M01,2.35
20290416,E23,2008672,Medical Incident,01/29/2002,01/29/2002,Other,01/29/2002 08:00:27 PM,2500 Block of 46TH AVE,SF,94116,B08,23,7712,3,3,3,false,"",1,ENGINE,2,8,4,Sunset/Parkside,"(37.7389817886029, -122.504355407568)",020290416-E23,2.3666666
20290416,M18,2008672,Medical Incident,01/29/2002,01/29/2002,Other,01/29/2002 08:42:47 PM,2500 Block of 46TH AVE,SF,94116,B08,23,7712,3,3,3,true,"",1,MEDIC,1,8,4,Sunset/Parkside,"(37.7389817886029, -122.504355407568)",020290416-M18,2.25
20290429,E11,2008681,Outside Fire,01/29/2002,01/29/2002,Other,01/29/2002 08:50:47 PM,24TH ST/NOE ST,SF,94114,B06,11,5522,3,3,3,false,"",1,ENGINE,1,6,8,Noe Valley,"(37.7514371592427, -122.431876685859)",020290429-E11,1.5666667
20290433,E03,2008684,Medical Incident,01/29/2002,01/29/2002,Other,01/29/2002 09:12:38 PM,600 Block of LEAVENWORTH ST,SF,94109,B04,03,1543,3,3,3,false,"",1,ENGINE,1,1,3,Tenderloin,"(37.7869955301845, -122.414832699131)",020290433-E03,3.2666667
20290445,E16,2008691,Medical Incident,01/29/2002,01/29/2002,Other,01/29/2002 09:56:56 PM,1700 Block of FILBERT ST,SF,94123,B04,16,3245,3,3,3,false,"",1,ENGINE,1,4,2,Marina,"(37.7990163402564, -122.428290722411)",020290445-E16,3.15
20290468,M28,2008706,Medical Incident,01/29/2002,01/29/2002,Other,01/29/2002 11:57:10 PM,JACKSON ST/MASON ST,SF,94133,B01,02,1416,1,1,2,true,"",1,MEDIC,1,1,3,Chinatown,"(37.7954085267096, -122.411541532158)",020290468-M28,41.25
20300025,M28,2008730,Medical Incident,01/30/2002,01/29/2002,Other,01/30/2002 03:32:43 AM,300 Block of STOCKTON ST,SF,94108,B01,01,1324,1,1,2,true,"",1,MEDIC,1,1,3,Financial District/South Beach,"(37.7887345763527, -122.406886503606)",020300025-M28,5.1666665
20300026,E01,2008731,Alarms,01/30/2002,01/29/2002,Other,01/30/2002 03:20:29 AM,100 Block of JONES ST,SF,94102,B03,01,1456,3,3,3,false,"",1,ENGINE,1,3,6,Tenderloin,"(37.7825474000421, -122.412247935495)",020300026-E01,2.6833334
20300026,T01,2008731,Alarms,01/30/2002,01/29/2002,Other,01/30/2002 03:20:23 AM,100 Block of JONES ST,SF,94102,B03,01,1456,3,3,3,false,"",1,TRUCK,2,3,6,Tenderloin,"(37.7825474000421, -122.412247935495)",020300026-T01,2.4166667
20300031,E41,2008736,Structure Fire,01/30/2002,01/29/2002,Other,01/30/2002 04:01:02 AM,BROADWAY/VAN NESS AV,SF,94109,B04,41,3152,3,3,3,false,"",1,ENGINE,1,4,2,Russian Hill,"(37.7957371093016, -122.423413055255)",020300031-E41,1.8833333
20300046,M03,2008747,Structure Fire,01/30/2002,01/29/2002,Other,01/30/2002 05:30:47 AM,1600 Block of CLAY ST,SF,94109,B04,41,1634,3,3,3,true,"",1,MEDIC,9,4,3,Russian Hill,"(37.7925424050227, -122.420238276265)",020300046-M03,3.7333333
20300109,M18,2008786,Medical Incident,01/30/2002,01/30/2002,Other,01/30/2002 10:06:07 AM,2200 Block of 40TH AVE,SF,94116,B08,18,7635,3,3,3,true,"",1,MEDIC,2,8,4,Sunset/Parkside,"(37.7448532801186, -122.498455705909)",020300109-M18,2.3666666
20300271,E10,2008857,Medical Incident,01/30/2002,01/30/2002,Other,01/30/2002 02:00:52 PM,2400 Block of POST ST,SF,94115,B05,10,4235,3,3,3,false,"",1,ENGINE,1,5,5,Japantown,"(37.7840561914976, -122.442179800386)",020300271-E10,2.1666667
20300272,M01,2008859,Medical Incident,01/30/2002,01/30/2002,Other,01/30/2002 02:40:23 PM,500 Block of MARKET ST,SF,94104,B03,01,2109,2,2,2,true,"",1,MEDIC,1,1,3,Financial District/South Beach,"(37.7890636112201, -122.40180312648)",020300272-M01,3.8166666
20300288,E10,2008868,Medical Incident,01/30/2002,01/30/2002,Other,01/30/2002 02:29:52 PM,2200 Block of GEARY BLVD,SF,94115,B05,10,4154,3,3,3,false,"",1,ENGINE,2,5,5,Japantown,"(37.7833263288474, -122.44032487616)",020300288-E10,3.3666666
20300330,RS1,2008897,Medical Incident,01/30/2002,01/30/2002,Other,01/30/2002 03:47:21 PM,1100 Block of MARKET ST,SF,94102,B02,01,2309,1,1,2,false,"",1,RESCUE SQUAD,3,2,6,Tenderloin,"(37.7796660426062, -122.41371122073)",020300330-RS1,2.7
20300335,E44,2008901,Structure Fire,01/30/2002,01/30/2002,Other,01/30/2002 04:12:21 PM,LELAND AV/SAWYER ST,SF,94134,B09,44,6263,3,3,3,true,"",1,ENGINE,1,9,10,Visitacion Valley,"(37.7143150560138, -122.413892696029)",020300335-E44,1.5
20300349,M43,2008914,Medical Incident,01/30/2002,01/30/2002,Other,01/30/2002 05:42:36 PM,600 Block of VELASCO AVE,SF,94134,B09,43,6247,3,3,3,true,"",1,MEDIC,2,9,10,Visitacion Valley,"(37.7096419146896, -122.418055998257)",020300349-M43,2.2666667
20300393,M14,2008948,Medical Incident,01/30/2002,01/30/2002,Other,01/30/2002 07:09:51 PM,300 Block of 20TH AVE,SF,94121,B07,31,7164,3,3,3,true,"",1,MEDIC,1,7,1,Outer Richmond,"(37.7813007244851, -122.479380199949)",020300393-M14,2.65
20300408,E14,2008961,Medical Incident,01/30/2002,01/30/2002,Other,01/30/2002 07:48:06 PM,29TH AV/CLEMENT ST,SF,94121,B07,14,7227,3,3,3,false,"",1,ENGINE,2,7,1,Outer Richmond,"(37.7818250131092, -122.48915697194)",020300408-E14,1.7666667
20300410,T06,2008963,Structure Fire,01/30/2002,01/30/2002,Other,01/30/2002 07:43:28 PM,16TH ST/CHURCH ST,SF,94114,B02,06,5234,3,3,3,false,"",1,TRUCK,2,2,8,Castro/Upper Market,"(37.7645076140541, -122.428665130308)",020300410-T06,1.0833334
20300438,M07,2008988,Medical Incident,01/30/2002,01/30/2002,Other,01/30/2002 10:04:22 PM,4200 Block of 22ND ST,SF,94114,B06,24,5463,3,3,3,true,"",1,MEDIC,2,6,8,Noe Valley,"(37.7541880494362, -122.440397827371)",020300438-M07,2.0666666
20300447,T02,2008994,Alarms,01/30/2002,01/30/2002,Other,01/30/2002 09:56:19 PM,100 Block of CLAY ST,SF,94111,B01,13,1133,3,3,3,false,"",1,TRUCK,3,1,3,Financial District/South Beach,"(37.7953352957642, -122.397362199177)",020300447-T02,1.8333334
20310006,E03,2009017,Alarms,01/31/2002,01/30/2002,Other,01/31/2002 12:52:13 AM,600 Block of GEARY ST,SF,94109,B01,03,1462,3,3,3,true,"",1,ENGINE,3,1,3,Tenderloin,"(37.7866790146424, -122.413995034531)",020310006-E03,2.35
20310021,M01,2009028,Medical Incident,01/31/2002,01/30/2002,Other,01/31/2002 04:27:41 AM,200 Block of JONES ST,SF,94102,B03,01,1456,3,3,3,true,"",1,MEDIC,2,2,6,Tenderloin,"(37.7834598143872, -122.412571882023)",020310021-M01,3.9833333
20310059,RC1,2009061,Medical Incident,01/31/2002,01/30/2002,Other,01/31/2002 07:33:05 AM,1500 Block of LEAVENWORTH ST,SF,94109,B01,41,1535,E,E,3,false,"",1,RESCUE CAPTAIN,3,1,3,Russian Hill,"(37.7952149901871, -122.416631100606)",020310059-RC1,4.516667
20310127,B03,2009093,Structure Fire,01/31/2002,01/31/2002,Other,01/31/2002 10:45:24 AM,400 Block of 10TH ST,SF,94103,B02,29,2345,3,3,3,false,"",1,CHIEF,1,2,6,South of Market,"(37.7709248562482, -122.410555957263)",020310127-B03,1.8833333
20310140,K1076,2009099,Medical Incident,01/31/2002,01/31/2002,Other,01/31/2002 11:57:26 AM,400 Block of EDDY ST,SF,94109,B02,03,1545,3,3,3,false,"",1,PRIVATE,2,2,6,Tenderloin,"(37.7836739523567, -122.415072980803)",020310140-K1076,3.65
20310154,M08,2009104,Medical Incident,01/31/2002,01/31/2002,Other,01/31/2002 11:37:14 AM,400 Block of 7TH ST,SF,94103,B03,08,0231,2,2,2,true,"",1,MEDIC,1,3,6,South of Market,"(37.7746534767072, -122.405118197249)",020310154-M08,3.4833333
20310206,E28,2009134,Medical Incident,01/31/2002,01/31/2002,Other,01/31/2002 12:32:39 PM,300 Block of UNION ST,SF,94133,B01,28,1252,3,3,3,false,"",1,ENGINE,2,1,3,North Beach,"(37.8008298856086, -122.405621075853)",020310206-E28,2.0833333
20310211,M13,2009138,Medical Incident,01/31/2002,01/31/2002,Other,01/31/2002 01:30:52 PM,200 Block of MARKET ST,SF,94111,B03,13,2809,1,1,2,true,"",1,MEDIC,1,1,3,Financial District/South Beach,"(37.7928236509312, -122.397034190089)",020310211-M13,43.0
20310238,M41,2009148,Medical Incident,01/31/2002,01/31/2002,Other,01/31/2002 01:41:58 PM,0 Block of TURK ST,SF,94102,B03,01,1365,3,3,3,true,"",1,MEDIC,2,3,6,Tenderloin,"(37.7833862379382, -122.409853729941)",020310238-M41,3.9666667
20310272,B04,2009164,Alarms,01/31/2002,01/31/2002,Other,01/31/2002 02:19:16 PM,400 Block of NORTH POINT ST,SF,94133,B01,28,1433,3,3,3,false,"",1,CHIEF,3,1,3,North Beach,"(37.8063948128853, -122.414598058157)",020310272-B04,3.4666667
20310290,94,2009175,Medical Incident,01/31/2002,01/31/2002,Other,01/31/2002 04:36:07 PM,200 Block of TOPEKA AVE,SF,94124,B10,42,6473,1,1,2,true,"",1,MEDIC,2,10,10,Bayview Hunters Point,"(37.7329812473695, -122.397228698169)",020310290-94,9.55
20310303,E21,2009187,Alarms,01/31/2002,01/31/2002,Other,01/31/2002 03:59:35 PM,1100 Block of HAYES ST,SF,94117,B05,21,4136,3,3,3,false,"",1,ENGINE,1,5,5,Hayes Valley,"(37.7752571734383, -122.435295111735)",020310303-E21,5.75
20310324,E07,2009198,Medical Incident,01/31/2002,01/31/2002,Other,01/31/2002 05:05:14 PM,100 Block of CAPP ST,SF,94110,B02,07,5236,3,3,3,false,"",1,ENGINE,1,2,9,Mission,"(37.7642910155103, -122.418689416733)",020310324-E07,5.6833334
20310355,E26,2009220,Alarms,01/31/2002,01/31/2002,Other,01/31/2002 06:56:25 PM,100 Block of MANGELS AVE,SF,94131,B09,26,8216,3,3,3,false,"",1,ENGINE,1,9,8,West of Twin Peaks,"(37.7330526231177, -122.440327258492)",020310355-E26,3.45
20310359,E18,2009224,Medical Incident,01/31/2002,01/31/2002,Other,01/31/2002 07:10:07 PM,1900 Block of 36TH AVE,SF,94116,B08,18,7561,3,3,3,false,"",1,ENGINE,2,8,4,Sunset/Parkside,"(37.7506401391533, -122.494424920987)",020310359-E18,2.95
20310359,M18,2009224,Medical Incident,01/31/2002,01/31/2002,Other,01/31/2002 08:00:39 PM,1900 Block of 36TH AVE,SF,94116,B08,18,7561,3,3,3,true,"",1,MEDIC,1,8,4,Sunset/Parkside,"(37.7506401391533, -122.494424920987)",020310359-M18,2.5666666
20310361,E01,2009225,Medical Incident,01/31/2002,01/31/2002,Other,01/31/2002 07:04:25 PM,100 Block of 6TH ST,SF,94103,B03,01,2251,3,3,3,false,"",1,ENGINE,2,3,6,South of Market,"(37.7803875013555, -122.407877117352)",020310361-E01,2.45
20310364,E03,2009228,Alarms,01/31/2002,01/31/2002,Other,01/31/2002 07:25:59 PM,500 Block of BUSH ST,SF,94108,B01,13,1315,3,3,3,false,"",1,ENGINE,2,1,3,Financial District/South Beach,"(37.7904732830605, -122.406742211994)",020310364-E03,3.8333333
20310424,E25,2009275,Medical Incident,01/31/2002,01/31/2002,Other,01/31/2002 10:29:12 PM,1300 Block of EVANS AVE,SF,94124,B10,25,6464,3,3,3,false,"",1,ENGINE,1,10,10,Bayview Hunters Point,"(37.7399349240236, -122.382724000085)",020310424-E25,3.75
20310424,T09,2009275,Medical Incident,01/31/2002,01/31/2002,Other,01/31/2002 10:43:13 PM,1300 Block of EVANS AVE,SF,94124,B10,25,6464,3,3,3,true,"",1,TRUCK,2,10,10,Bayview Hunters Point,"(37.7399349240236, -122.382724000085)",020310424-T09,4.45
20310430,E23,2009281,Outside Fire,01/31/2002,01/31/2002,Other,01/31/2002 10:49:30 PM,2300 Block of 46TH AVE,SF,94116,B08,23,7713,3,3,3,false,"",1,ENGINE,1,8,4,Sunset/Parkside,"(37.7427007430908, -122.504755573792)",020310430-E23,5.35
20310433,E03,2009283,Medical Incident,01/31/2002,01/31/2002,Other,01/31/2002 11:07:22 PM,POLK ST/SUTTER ST,SF,94109,B04,03,3121,3,3,3,false,"",1,ENGINE,1,4,3,Nob Hill,"(37.7877566525283, -122.420116076828)",020310433-E03,4.45
